context_clean	category
answering the telephone	answering the telephone
applying teething gel	fussing
babbling	interaction
baptism	baptism
bathroom	bathroom
bathtime	bathtime
bedtime	sleep
before leaving	outside
being hungry	being hungry
being tired	being tired
biting	being naughty
blowing bubbles	blowing bubbles
blowing raspberries	touching
bottle feeding	mealtime
bouncing	playtime
breakfast	mealtime
breastfeeding	mealtime
brushing hair	dressing
burping	mealtime
car	outside
changing clothes	dressing
chewing	mealtime
chiding	being naughty
clapping	interaction
clean up	housework
cleaning	housework
cleaning the child	touching
coming home	outside
cooing	interaction
cooking	housework
coughing	coughing
crawling	playtime
crying	fussing
cuddling	touching
dancing	playtime
diaper change	diaper change
dinner	mealtime
directing attention	interaction
dressing	dressing
drinking	mealtime
drinking milk	mealtime
drooling	drooling
drying	bathtime
eating fingers	eating fingers
eating something wrong	being naughty
entertaining	playtime
exercising	playtime
filming	taking pictures
friends	friends
fussing	fussing
gas	fussing
getting ready	dressing
getting up	sleep
going potty	diaper change
grooming	touching
grunting	interaction
hearing	interaction
hiccups	hiccups
hiding	hiding
holding	touching
holding child	touching
housework	housework
in crib	sleep
in the kitchen	housework
inactive	none
ironing	housework
joint attention	interaction
kicking	playtime
kissing	touching
laughing	interaction
learning words	interaction
leaving	outside
listening	interaction
looking	interaction
lunch	mealtime
lying down	sleep
making mess	being naughty
mealtime	mealtime
messing up	being naughty
morning time	morning time
moving	playtime
music	music
nap time	sleep
newspaper	newspaper
none	none
observing	interaction
outside	outside
peeing	diaper change
peek-a-boo	playtime
playing	playtime
playtime	playtime
pooping	diaper change
post-bath	bathtime
post-bedtime	sleep
post-diaper	diaper change
post-feeding	mealtime
post-mealtime	mealtime
post-nap	sleep
post-sick	sick
potty training	bathroom
pre-bath	bathtime
pre-bedtime	sleep
pre-change	diaper change
pre-diaper	diaper change
pre-doctors visit	pre-doctors visit
pre-dressing	dressing
pre-feeding	mealtime
pre-mealtime	mealtime
pre-nap	sleep
pre-swimming	swimming
pulling hair	being naughty
putting on the bib	mealtime
raining	raining
relieving tummy ache	sick
rolling	playtime
scared	fussing
shaking hands	touching
shopping	shopping
shouting	interaction
sick	sick
sighing	sighing
singing	interaction
sitting	sitting
smiling	interaction
sneezing	sneezing
soothing	fussing
spitting up	mealtime
splashing	bathtime
standing	standing
storytime	interaction
stretching	stretching
sucking	touching
sucking fingers	touching
sucking thumb	touching
sunbathing	outside
swimming	swimming
swinging	playtime
taking pictures	taking pictures
talking	interaction
taping	taking pictures
teasing	interaction
teething	fussing
thinking	thinking
tickling	touching
touching	touching
TV	TV
undressing	dressing
waking up	sleep
walking	playtime
washing	bathtime
washing dishes	housework
washing face	bathtime
washing hair	bathtime
washing up	housework
watch tennis	interaction
watching	interaction
yawning	sleep
