utt	orth
cr06.cha_1	hello hello .
cr06.cha_2	oh dear .
cr06.cha_3	oh come on .
cr06.cha_4	are you a sleepy head ?
cr06.cha_5	&mm ?
cr06.cha_6	are you ?
cr06.cha_7	a sleepy head ?
cr06.cha_8	&uh ?
cr06.cha_9	oh dear .
cr06.cha_10	oh dear .
cr06.cha_11	have you got a hankie ?
cr06.cha_12	got any burps ?
cr06.cha_13	have you got any burps ?
cr06.cha_14	o:h come on .
cr06.cha_15	a big burp for mummie .
cr06.cha_16	a big burp .
cr06.cha_17	come on .
cr06.cha_18	oh .
cr06.cha_19	come on then .
cr06.cha_20	want some more milky ?
cr06.cha_21	do you ?
cr06.cha_22	what's the matter ?
cr06.cha_23	&mm ?
cr06.cha_24	oh dear .
cr06.cha_25	oh dear Gillian .
cr06.cha_26	did you not want all that milk ?
cr06.cha_27	&hmm ?
cr06.cha_28	oh dear me .
cr06.cha_29	were you being greedy guts ?
cr06.cha_30	&hmm ?
cr06.cha_31	were you ?
cr06.cha_32	dinner time &mm ?
cr06.cha_33	was it not dinner time ?
cr06.cha_34	oh dear .
cr06.cha_35	what a milky face .
cr06.cha_36	what a milky face .
cr06.cha_37	o:h what a smile .
cr06.cha_38	hello .
cr06.cha_39	hello .
cr06.cha_40	did you not want all that milk ?
cr06.cha_41	did you not ?
cr06.cha_42	are you being greedy girl ?
cr06.cha_43	are you ?
cr06.cha_44	are you being greedy girl ?
cr06.cha_45	&hmm ?
cr06.cha_46	o:h o:h .
cr06.cha_47	come on .
cr06.cha_48	big burp .
cr06.cha_49	big burp to mummie .
cr06.cha_50	big burp .
cr06.cha_51	you haven't got any have you ?
cr06.cha_52	(be)cause you've just been sick .
cr06.cha_53	that's better .
cr06.cha_54	o:h .
cr06.cha_55	like a film star .
cr06.cha_56	isn't it ?
cr06.cha_57	&hmm ?
cr06.cha_58	that's a nice noise .
cr06.cha_59	what is it ?
cr06.cha_60	hello beautiful .
cr06.cha_61	hello beautiful .
cr06.cha_62	hello .
cr06.cha_63	yes .
