context_raw	context_clean
after naptime	post-nap
after sleep	post-sleep
babbling	babbling
baking	cooking
batg	bathtime
bath	bathtime
bath time	bathtime
bathing	bathtime
bathroom	bathroom
bathtime	bathtime
bed time	bedtime
bedtime	bedtime
before bath	pre-bath
before bedtime	pre-bedtime
brushing	brushing hair
brushing hair	brushing hair
burping	burping
changing	diaper change
changing diaper	diaper change
chewing	chewing
clean up	clean up
cleaning	cleaning
comforting	soothing
communicating	talking
consoling	soothing
cooking	cooking
crying	crying
defecating	defecating
diaper change	diaper change
diapering	diaper change
dinner time	mealtime
doing chores	housework
drawing attention	drawing attention
dressing	dressing
drinking	drinking
eating	mealtime
entertaining	entertaining
feeding	mealtime
fussing	fussing
gas	gas
getting dressed	dressing
getting ready	getting ready
getting sick	spitting up
going to sleep	bedtime
grooming	grooming
guided observation	guided observation
hearing	hearing
hiccups	hiccups
housework	housework
interaction	talking
joint attention	joint attention
meal	mealtime
meal time	mealtime
mealtime	mealtime
moving	moving
music	music
nap time	nap time
napping	nap time
nibbling	mealtime
none	none
observing	observing
peeing	peeing
play	playtime
play time	playtime
playing	playtime
playtime	playtime
post-changing	post-diaper change
post-feeding	post-feeding
pre-bath	pre-bath
pre-bathing	pre-bath
pre-bedtime	pre-bedtime
pre-change	pre-change
pre-dressing	pre-dressing
pre-feeding	pre-feeding
putting to bed	bedtime
reading	storytime
rolling	rolling
shopping	shopping
shouting	shouting
sick	sick
singing	singing
sleeptime	bedtime
sneezing	sneezing
soothing	soothing
spitting up	spitting up
storytime	storytime
taking pictures	taking pictures
talking	talking
taping	taping
tea time	mealtime
teasing	teasing
teething	teething
television	TV
tickling	tickling
waking	waking up
waking up	waking up
watching television	TV
watching tv	TV
yawning	yawning
yelling	shouting
