utt	orth	phon	answering the telephone	baptism	bathroom	bathtime	being hungry	being naughty	being tired	blowing bubbles	coughing	diaper change	doctors visit	dressing	drooling	eating fingers	friends	fussing	hiccups	hiding	housework	inside	interaction	mealtime	morning time	music	newspaper	none	opening window	outside	playtime	pre-doctors visit	raining	shopping	sick	sighing	sitting	sleep	sneezing	standing	stretching	swimming	taking pictures	thinking	touching	TV
cr06.cha_1	hello hello 	h@ 'l5 h@ 'l5 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cr06.cha_2	oh dear 	'5 'd7R 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cr06.cha_3	oh come on 	'5 'kVm 'Qn 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cr06.cha_4	are you a sleepy head 	'#R 'ju @ 'sli pI 'hEd 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
cr06.cha_5	&mm 	'm 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
cr06.cha_6	are you 	'#R 'ju 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
cr06.cha_7	a sleepy head 	@ 'sli pI 'hEd 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
cr06.cha_8	&uh 	'V 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
cr06.cha_9	oh dear 	'5 'd7R 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
cr06.cha_10	oh dear 	'5 'd7R 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
