word	phon
'ave	'{v
'ere	'7R
a	@
aah	'#
aah-ooh	'#-'u
able	'1-bP
about	@-'b6t
abubbies	@-'bV-bIz
accidents	'{k-sI-d@nts
ache	'1k
act	'{kt
addict	'{-dIkt
aeroplane	'8-r@-pl1n
afraid	@-'fr1d
after	'#f-t@R
afternoon	'#f-t@-'nun
again	@-'gEn
ahead	@-'hEd
ahhbo	'#-b5
ahuh	@-'h5
ain't	'1nt
air	'8R
alan	'{-lIn
all	'$l
allowed	@-'l6d
alone	@-'l5n
along	@-'lQN
already	$l-'rE-dI
alright	$l-'r2t
also	'$l-s5
always	'$l-w1z
am	'{m
an	@n
and	@nd
angry	'{N-grI
annoy	@-'n4
annoyed	@-'n4d
annoying	@-'n4-IN
another	@-'nV-D@R
ant	'{nt
anthony	'{n-T5-ni
any	'E-nI
anybody	'E-nI-"bQ-dI
anymore	E-nI-'m$R
anyone	'E-nI-wVn
anything	'E-nI-TIN
anywhere	'E-nI-w8R
apple	'{-pP
are	'#R
aren't	'#nt
arm	'#m
armie	'#-mI
armies	'#-mIz
arms	'#mz
around	@-'r6nd
arrows	'{-r5z
arsies	'#-siz
as	@z
ask	'#sk
asking	'#-skIN
asleep	@-'slip
asleepies	@-'sli-piz
astra	'{s-tr@
astra's	'{s-tr@z
at	@t
atchoo	@-'Ju
atishoo	@-'tI-Su
attached	@-'t{Jt
attention	@-'tEn-SH
auntie	'#n-tI
awake	@-'w1k
away	@-'w1
awful	'$-fUl
awfully	'$-fU-lI
awkward	'$-kw@d
ayo	'#-j5
babba	'b#-b#
babe	'b1b
babies	'b1-bIz
baby	'b1-bI
baby's	'b1-bIz
babygro	'b1-bI-'gr5
back	'b{k
bacon	'b1-k@n
bad	'b{d
bald	'b$ld
ball	'b$l
ballet	'b{-l1
balls	'b$lz
banbury	'b{n-bV-rI
bandy	'b{n-dI
banged	'b{Nd
bare	'b8R
bash	'b{S
bashing	'b{-SIN
bath	'b#T
bathing	'b1-DIN
bathroom	'b#T-rUm
baths	'b#Ts
bathy	'b#-TI
batman	'b{t-m@n
baxter	'b{k-st@R
be	'bi
beady	'bi-dI
bear	'b8R
bear's	'b8z
bears	'b8z
beat	'bit
beautiful	'bju-t@-fUl
because	bI-'kQz
bed	'bEd
bedtime	'bEd-t2m
beebo	'bi-b5
been	'bin
beep	'bip
before	bI-'f$R
begging	'bE-gIN
being	'bi-IN
believe	bI-'liv
believed	bI-'livd
bell	'bEl
belly	'bE-lI
belong	bI-'lQN
below	bI-'l5
bend	'bEnd
beside	bI-'s2d
best	'bEst
bet	'bEt
better	'bE-t@R
bib	'bIb
bicycle	'b2-sI-kP
big	'bIg
bigger	'bI-g@R
biggest	'bI-gIst
bin	'bIn
bird	'b3d
birds	'b3dz
birthday	'b3T-d1
biscuit's	'bI-skIts
bit	'bIt
bite	'b2t
biting	'b2-tIN
bits	'bIts
bitter	'bI-t@R
black	'bl{k
blankets	'bl{N-kIts
bless	'blEs
blimey	'bl2-mI
blinds	'bl2ndz
blisters	'blI-st@z
blooming	'blu-mIN
blouse	'bl6z
blow	'bl5
blowing	'bl5-IN
blue	'blu
bo	'b5
bo's	'b5z
bo-byes	'b5-'b1z
bobo's	'b5-b5z
body	'bQ-dI
boiling	'b4-lIN
bone	'b5n
bones	'b5nz
bonnet	'bQ-nIt
boo	'bu
boon	'bun
bop	'bQp
bored	'b$d
boring	'b$-rIN
borks	'b$ks
bot	'bQt
bot's	'bQts
both	'b5T
bother	'bQ-D@R
bothered	'bQ-D@d
bottle	'bQ-tP
bottom	'bQ-t@m
bottoms	'bQ-t@mz
botty	'bQ-tI
bought	'b$t
bounce	'b6ns
bouncie	'b6n-sI
bouncing	'b6n-sIN
bowl	'b5l
boy	'b4
boys	'b4z
breakable	'br1-k@-bP
breakfast	'brEk-f@st
breathing	'bri-DIN
bright	'br2t
bring	'brIN
brings	'brINz
brothers	'brV-D@z
brought	'br$t
brown	'br6n
brush	'brVS
brushed	'brVSt
bubble	'bV-bP
bubbles	'bV-bPz
bubbly	'bV-blI
bucket	'bV-kIt
bucky	'bV-kI
bum	'bVm
bump	'bVmp
bunny	'bV-nI
burp	'b3p
burping	'b3-pIN
burps	'b3ps
busby	'bVz-bI
business	'bIz-nIs
busy	'bI-zI
but	'bVt
butterfly	'bV-t@-fl2
button	'bV-tH
by	'b2
bye	'b2
