word	phon	N.syl	freq.orth
'ave	'{v	1	0
'ere	'7R	1	0
a	@	1	1015
aah	'#	1	0
aah-ooh	'#-'u	2	0
able	'1-bP	2	3
about	@-'b6t	2	59
abubbies	@-'bV-bIz	3	0
accidents	'{k-sI-d@nts	3	1
ache	'1k	1	3
act	'{kt	1	1
addict	'{-dIkt	2	1
aeroplane	'8-r@-pl1n	3	4
afraid	@-'fr1d	2	2
after	'#f-t@R	2	17
afternoon	'#f-t@-'nun	3	7
again	@-'gEn	2	87
ahead	@-'hEd	2	1
ahhbo	'#-b5	2	0
ahuh	@-'h5	2	0
ain't	'1nt	1	2
air	'8R	1	6
alan	'{-lIn	2	2
all	'$l	1	152
allowed	@-'l6d	2	2
alone	@-'l5n	2	1
along	@-'lQN	2	1
already	$l-'rE-dI	3	1
alright	$l-'r2t	2	166
also	'$l-s5	2	1
always	'$l-w1z	2	5
am	'{m	1	52
an	@n	1	18
and	@nd	1	335
angry	'{N-grI	2	1
annoy	@-'n4	2	1
annoyed	@-'n4d	2	3
annoying	@-'n4-IN	3	1
another	@-'nV-D@R	3	27
ant	'{nt	1	1
anthony	'{n-T5-ni	3	1
any	'E-nI	2	38
anybody	'E-nI-"bQ-dI	4	2
anymore	E-nI-'m$R	3	10
anyone	'E-nI-wVn	3	1
anything	'E-nI-TIN	3	14
anywhere	'E-nI-w8R	3	2
apple	'{-pP	2	5
are	'#R	1	747
aren't	'#nt	1	101
arm	'#m	1	13
armie	'#-mI	2	5
armies	'#-mIz	2	2
arms	'#mz	1	18
around	@-'r6nd	2	10
arrows	'{-r5z	2	1
arsies	'#-siz	2	0
as	@z	1	14
ask	'#sk	1	1
asking	'#-skIN	2	2
asleep	@-'slip	2	4
asleepies	@-'sli-piz	3	0
astra	'{s-tr@	2	11
astra's	'{s-tr@z	2	2
at	@t	1	157
atchoo	@-'Ju	2	0
atishoo	@-'tI-Su	3	0
attached	@-'t{Jt	2	1
attention	@-'tEn-SH	3	8
auntie	'#n-tI	2	2
awake	@-'w1k	2	6
away	@-'w1	2	30
awful	'$-fUl	2	16
awfully	'$-fU-lI	3	1
awkward	'$-kw@d	2	1
ayo	'#-j5	2	4
babba	'b#-b#	2	0
babe	'b1b	1	3
babies	'b1-bIz	2	5
baby	'b1-bI	2	29
baby's	'b1-bIz	2	1
babygro	'b1-bI-'gr5	3	1
back	'b{k	1	68
bacon	'b1-k@n	2	1
bad	'b{d	1	27
bald	'b$ld	1	2
ball	'b$l	1	10
ballet	'b{-l1	2	2
balls	'b$lz	1	2
banbury	'b{n-bV-rI	3	1
bandy	'b{n-dI	2	2
banged	'b{Nd	1	1
bare	'b8R	1	8
bash	'b{S	1	14
bashing	'b{-SIN	2	1
bath	'b#T	1	47
bathing	'b1-DIN	2	1
bathroom	'b#T-rUm	2	0
baths	'b#Ts	1	3
bathy	'b#-TI	2	0
batman	'b{t-m@n	2	1
baxter	'b{k-st@R	2	1
be	'bi	1	112
beady	'bi-dI	2	1
bear	'b8R	1	14
bear's	'b8z	1	2
bears	'b8z	1	1
beat	'bit	1	1
beautiful	'bju-t@-fUl	3	30
because	bI-'kQz	2	7
bed	'bEd	1	8
bedtime	'bEd-t2m	2	1
beebo	'bi-b5	2	0
been	'bin	1	43
beep	'bip	1	1
before	bI-'f$R	2	5
begging	'bE-gIN	2	1
being	'bi-IN	2	20
believe	bI-'liv	2	1
believed	bI-'livd	2	1
bell	'bEl	1	4
belly	'bE-lI	2	17
belong	bI-'lQN	2	1
below	bI-'l5	2	3
bend	'bEnd	1	2
beside	bI-'s2d	2	1
best	'bEst	1	4
bet	'bEt	1	7
better	'bE-t@R	2	66
bib	'bIb	1	16
bicycle	'b2-sI-kP	3	1
big	'bIg	1	189
bigger	'bI-g@R	2	3
biggest	'bI-gIst	2	2
bin	'bIn	1	1
bird	'b3d	1	1
birds	'b3dz	1	1
birthday	'b3T-d1	2	1
biscuit's	'bI-skIts	2	1
bit	'bIt	1	40
bite	'b2t	1	3
biting	'b2-tIN	2	2
bits	'bIts	1	7
bitter	'bI-t@R	2	1
black	'bl{k	1	1
blankets	'bl{N-kIts	2	1
bless	'blEs	1	25
blimey	'bl2-mI	2	0
blinds	'bl2ndz	1	1
blisters	'blI-st@z	2	1
blooming	'blu-mIN	2	1
blouse	'bl6z	1	3
blow	'bl5	1	5
blowing	'bl5-IN	2	16
blue	'blu	1	1
bo	'b5	1	0
bo's	'b5z	1	0
bo-byes	'b5-'b1z	2	0
bobo's	'b5-b5z	2	2
body	'bQ-dI	2	4
boiling	'b4-lIN	2	2
bone	'b5n	1	2
bones	'b5nz	1	1
bonnet	'bQ-nIt	2	1
boo	'bu	1	115
boon	'bun	1	1
bop	'bQp	1	9
bored	'b$d	1	3
boring	'b$-rIN	2	5
borks	'b$ks	1	1
bot	'bQt	1	4
bot's	'bQts	1	0
both	'b5T	1	6
bother	'bQ-D@R	2	1
bothered	'bQ-D@d	2	2
bottle	'bQ-tP	2	8
bottom	'bQ-t@m	2	18
bottoms	'bQ-t@mz	2	1
botty	'bQ-tI	2	2
bought	'b$t	1	1
bounce	'b6ns	1	6
bouncie	'b6n-sI	2	2
bouncing	'b6n-sIN	2	4
bowl	'b5l	1	1
boy	'b4	1	67
boys	'b4z	1	4
breakable	'br1-k@-bP	3	2
breakfast	'brEk-f@st	2	7
breathing	'bri-DIN	2	1
bright	'br2t	1	2
bring	'brIN	1	3
brings	'brINz	1	1
brothers	'brV-D@z	2	1
brought	'br$t	1	2
brown	'br6n	1	2
brush	'brVS	1	4
brushed	'brVSt	1	1
bubble	'bV-bP	2	1
bubbles	'bV-bPz	2	25
bubbly	'bV-blI	2	2
bucket	'bV-kIt	2	1
bucky	'bV-kI	2	2
bum	'bVm	1	8
bump	'bVmp	1	1
bunny	'bV-nI	2	4
burp	'b3p	1	10
burping	'b3-pIN	2	1
burps	'b3ps	1	7
busby	'bVz-bI	2	1
business	'bIz-nIs	2	1
busy	'bI-zI	2	5
but	'bVt	1	35
butterfly	'bV-t@-fl2	3	4
button	'bV-tH	2	1
by	'b2	1	10
bye	'b2	1	19
bye-bye	"b2-'b2	2	0
c'mon	k@-'mQn	2	0
cable	'k1-bP	2	0
cake	'k1k	1	2
cakes	'k1ks	1	1
called	'k$ld	1	1
calm	'k#m	1	5
came	'k1m	1	2
camera	'k{-m@-r@	3	17
can	k@n	1	187
can't	'k#nt	1	98
car	'k#R	1	1
card	'k#d	1	1
cardigan	'k#-dI-g@n	3	2
care	'k8R	1	2
careful	'k8-fUl	2	2
cares	'k8z	1	1
carpet	'k#-pIt	2	2
carry	'k{-rI	2	6
carrycot	'k{-rI-kQt	3	3
carrying	'k{-rI-IN	3	1
cartoon	k#-'tun	2	1
castle	'k#-sP	2	2
castor	'k#-st@R	2	1
cat	'k{t	1	2
cats	'k{ts	1	3
caught	'k$t	1	3
cause	k@z	1	6
cement	sI-'mEnt	2	1
center	'sEn-t@R	2	1
certain	's3-tH	2	1
cha	J@	1	5
chair	'J8R	1	9
chair's	'J8z	1	2
chance	'J#ns	1	2
change	'J1n_	1	29
changed	'J1n_d	1	8
changing	'J1n-_IN	2	3
charles	'J#lz	1	10
cheek	'Jik	1	2
cheeks	'Jiks	1	2
cheeky	'Ji-kI	2	42
chew	'Ju	1	5
chewin'	'Ju-In	2	0
chewing	'Ju-IN	2	4
chicken	'JI-kIn	2	7
chilly	'JI-lI	2	1
chime	'J2m	1	4
chin	'JIn	1	9
chinny	'JI-nI	2	0
chinywinywiny	'JI-nI-'wI-nI	4	0
choice	'J4s	1	1
choke	'J5k	1	2
choked	'J5kt	1	1
chops	'JQps	1	1
chou	'J6	1	31
chris	'krIs	1	2
christ	'kr2st	1	1
christopher	'krIs-t@-f@r	3	42
christopher's	'krIs-t@-f@rz	3	2
chubby	'JV-bI	2	2
chuckles	'JV-kPz	2	2
chucky	'JV-kI	2	1
church	'J3J	1	2
clap	'kl{p	1	22
clark	'kl#k	1	1
clean	'klin	1	36
clever	'klE-v@R	2	79
clevey	'klE-vI	2	1
climb	'kl2m	1	2
climbing	'kl2-mIN	2	2
clinic	'klI-nIk	2	1
closed	'kl5zd	1	1
clothes	'kl5Dz	1	8
cob	'kQb	1	1
coffee	'kQ-fI	2	1
cold	'k5ld	1	15
colors	'kV-l@z	2	6
come	'kVm	1	585
comes	'kVmz	1	13
comin	'kV-mIn	2	0
coming	'kV-mIN	2	40
compete	k@m-'pit	2	1
complain	k@m-'pl1n	2	3
complaining	k@m-'pl1-nIN	3	1
complains	k@m-'pl1nz	2	1
complaints	k@m-'pl1nts	2	1
concentrate	'kQn-s@n-tr1t	3	1
concentrating	'kQn-s@n-tr1-tIN	4	1
conditions	k@n-'dI-SHz	3	1
conduct	k@n-'dVkt	2	1
confused	k@n-'fjuzd	2	2
contact	'kQn-t{kt	2	1
contemplating	'kQn-tEm-pl1-tIN	4	3
cooing	'ku-IN	2	1
cook	'kUk	1	4
cooking	'kU-kIN	2	1
copying	'kQ-pI-IN	3	1
cor	'k$R	1	0
cos	k@z	1	0
cosy	'k5-zI	2	10
cot	'kQt	1	0
cough	'kQf	1	5
coughs	'kQfs	1	1
could	k@d	1	13
countrymen	'kVn-trI-m@n	3	1
couple	'kV-pP	2	2
course	'k$s	1	2
cover	'kV-v@R	2	1
covered	'kV-v@d	2	1
coy	'k4	1	4
cradle	'kr1-dP	2	3
crawl	'kr$l	1	2
crawling	'kr$-lIN	2	1
cream	'krim	1	4
creamy	'kri-mI	2	1
crease	'kris	1	1
cricket	'krI-kIt	2	1
critical	'krI-tI-kP	3	1
crocodile	'krQ-k@-d2l	3	4
crocodile's	'krQ-k@-d2lz	3	2
crocodiles	'krQ-k@-d2lz	3	1
cross	'krQs	1	15
crosspatch	'krQs-p{J	2	0
cruel	'kr9l	1	4
crumbs	'krVmz	1	1
crunch	'krVnJ	1	3
cry	'kr2	1	22
crying	'kr2-IN	2	14
cuddle	'kV-dP	2	11
cup	'kVp	1	5
cupboard	'kV-b@d	2	3
cuppa	'kV-p@	2	1
cups	'kVps	1	1
cupsy	'kVp-sI	2	6
curlies	'k3-lIz	2	3
curls	'k3lz	1	3
curly	'k3-lI	2	2
curtains	'k3-tHz	2	1
curtsy	'k3t-sI	2	2
cut	'kVt	1	2
cycling	's2-klIN	2	1
d'you	'djU	1	0
dad	'd{d	1	14
dad's	'd{dz	1	1
daddies	'd{-dIz	2	4
daddy	'd{-dI	2	35
daddy's	'd{-dIz	2	29
daft	'd#ft	1	5
daisy	'd1-zI	2	1
dance	'd#ns	1	12
dancer	'd#n-s@R	2	2
dancing	'd#n-sIN	2	1
danish	'd1-nIS	2	1
dark	'd#k	1	1
darling	'd#-lIN	2	123
day	'd1	1	14
dead	'dEd	1	2
dear	'd7R	1	524
dearie	'd7-rI	2	13
dearier	'd7-r7R	2	0
deborah	'dE-b@-r@	3	2
debra	'dE-br@	2	1
decided	dI-'s2-dId	3	2
dee	'di	1	0
deep	'dip	1	1
definitely	'dE-fI-nIt-lI	4	1
delitt	d@-'lIt	2	2
deserves	dI-'z3vz	2	1
desperately	'dE-sp@-r@t-lI	4	1
dessert	dI-'z3t	2	3
did	'dId	1	174
didn't	'dI-dHt	2	35
difference	'dI-fr@ns	2	1
different	'dI-fr@nt	2	4
difficult	'dI-fI-k@lt	3	1
din	'dIn	1	2
din-dins	'dIn-dInz	2	0
dinner	'dI-n@R	2	19
dinners	'dI-n@z	2	1
dins	'dInz	1	2
dirty	'd3-tI	2	28
disagreement	"dIs-@-'gri-m@nt	4	1
disco	'dI-sk5	2	0
dishes	'dI-SIz	2	1
distract	dI-'str{kt	2	1
distracting	dI-'str{k-tIN	3	1
disturbing	dI-'st3-bIN	3	1
dived	'd2vd	1	1
do	'du	1	424
doctors	'dQk-t@z	2	2
does	'dVz	1	47
doesn't	'dV-zHt	2	28
doin	'du-In	2	0
doing	'du-IN	2	111
dollop	'dQ-l@p	2	2
dolly	'dQ-lI	2	8
dolly's	'dQ-lIz	2	1
don't	'd5nt	1	207
donald	'dQn-n@ld	2	8
done	'dVn	1	25
door	'd$R	1	8
door's	'd$z	1	1
doors	'd$z	1	1
doot	'dut	1	1
down	'd6n	1	84
downstairs	"d6n-'st8z	2	9
draw	'dr$	1	1
drawers	'dr$z	1	2
dreadful	'drEd-fUl	2	5
dream	'drim	1	1
dreaming	'dri-mIN	2	2
dress	'drEs	1	4
dressed	'drEst	1	1
dressing	'drE-sIN	2	1
dribbles	'drI-bPz	2	5
dribbling	'drI-blIN	2	4
dribbly	'drI-blI	2	3
dried	'dr2d	1	1
drink	'drINk	1	6
drinkee	'drIN-kI	2	0
drinkies	'drIN-kIz	2	1
drinking	'drIN-kIN	2	1
drinks	'drINks	1	1
drip	'drIp	1	1
dripping	'drI-pIN	2	1
drips	'drIps	1	1
drop	'drQp	1	5
dropped	'drQpt	1	7
drunk	'drVNk	1	1
drunkard	'drVN-k@d	2	2
dry	'dr2	1	19
dub	'dVb	1	8
duck	'dVk	1	8
ducks	'dVks	1	2
duh	'dV	1	0
dummy	'dV-mI	2	3
dumpling	'dVm-plIN	2	1
during	'dj9-rIN	2	1
dusty	'dV-stI	2	0
dying	'd2-IN	2	4
each	'iJ	1	1
ear	'7R	1	1
earlier	'3-l7R	2	3
early	'3-lI	2	1
ears	'7z	1	5
easier	'i-z7R	2	1
easy	'i-zI	2	2
eat	'it	1	27
eaten	'i-tH	2	2
eating	'i-tIN	2	10
edge	'E_	1	3
egg	'Eg	1	1
eh	'1	1	0
either	'2-D@R	2	5
elaine	i-'l1n	2	2
electrocute	I-'lEk-tr@-kjut	4	1
else	'Els	1	12
end	'End	1	7
energy	'E-n@-_I	3	1
enjoy	In-'_4	2	3
enjoyed	In-'_4d	2	2
enjoying	In-'_4-IN	3	3
enough	I-'nVf	2	15
er	'3	1	0
especially	I-'spE-S@-lI	4	1
even	'i-vH	2	5
evening	'i-vH-IN	3	1
ever	'E-v@R	2	6
every	'E-vrI	2	4
everybody	'E-vrI-"bQ-dI	4	1
everything	'E-vrI-TIN	3	5
everywhere	'E-vrI-w8R	3	1
except	Ik-'sEpt	2	1
excited	Ik-'s2-tId	3	9
exciting	Ik-'s2-tIN	3	1
excuse	Ik-'skjuz	2	8
exercises	'Ek-s@-s2-zIz	4	3
expect	Ik-'spEkt	2	2
extras	'Ek-str@z	2	2
eye	'2	1	2
eyelashes	'2-l{-SIz	3	2
eyes	'2z	1	4
face	'f1s	1	55
faced	'f1st	1	1
faces	'f1-sIz	2	2
facies	'f1-sIz	2	1
fair	'f8R	1	2
faithful	'f1T-fUl	2	1
fall	'f$l	1	2
fallen	'f$-l@n	2	1
falling	'f$-lIN	2	3
fancy	'f{n-sI	2	3
far	'f#R	1	1
fascinated	'f{-sI-n1-tId	4	2
fast	'f#st	1	5
fat	'f{t	1	35
fatty	'f{-tI	2	16
fault	'f$lt	1	1
favorite	'f1-v@-rIt	3	2
feather	'fE-D@R	2	1
