CDI_cat,word,context
furniture_and_rooms,bath,bath
games_and_routines,bath,bath
furniture_and_rooms,bathroom,bath
NA,bathrooms,bath
NA,baths,bath
furniture_and_rooms,bathtub,bath
NA,bathtubs,bath
action_words,clean,bath
descriptive_words,clean,bath
NA,cleaned,bath
NA,cleaner,bath
NA,cleanest,bath
NA,cleaning,bath
NA,cleans,bath
NA,dried,bath
NA,drier,bath
descriptive_words,dry,bath
NA,drying,bath
household_items,soap,bath
NA,soaped,bath
NA,soaping,bath
NA,soaps,bath
NA,soapy,bath
action_words,splash,bath
NA,splashed,bath
NA,splashes,bath
NA,splashing,bath
NA,splashy,bath
NA,swam,bath
action_words,swim,bath
NA,swimmer,bath
NA,swimming,bath
NA,swims,bath
household_items,towel,bath
NA,toweling,bath
NA,towels,bath
NA,towled,bath
action_words,wash,bath
NA,washed,bath
NA,washes,bath
NA,washing,bath
descriptive_words,wet,bath
descriptive_words,asleep,bed
furniture_and_rooms,bed,bed
furniture_and_rooms,bedroom,bed
NA,bedrooms,bed
NA,beds,bed
household_items,blanket,bed
NA,blankets,bed
games_and_routines,nap,bed
NA,napped,bed
NA,napping,bed
NA,naps,bed
time,night,bed
games_and_routines,night_night,bed
NA,nights,bed
household_items,pillow,bed
NA,pillows,bed
action_words,sleep,bed
NA,sleepier,bed
NA,sleepiest,bed
NA,sleeping,bed
descriptive_words,sleepy,bed
NA,slept,bed
descriptive_words,tired,bed
body_parts,arm,body_touch
NA,arms,body_touch
body_parts,belly_button,body_touch
NA,belly_buttons,body_touch
body_parts,cheek,body_touch
NA,cheeks,body_touch
action_words,cuddle,body_touch
NA,cuddled,body_touch
NA,cuddles,body_touch
NA,cuddling,body_touch
body_parts,face,body_touch
NA,faces,body_touch
NA,feet,body_touch
body_parts,finger,body_touch
NA,fingers,body_touch
body_parts,foot,body_touch
body_parts,hand,body_touch
NA,hands,body_touch
body_parts,head,body_touch
NA,heads,body_touch
action_words,hug,body_touch
NA,hugged,body_touch
NA,hugging,body_touch
NA,hugs,body_touch
action_words,kiss,body_touch
NA,kissed,body_touch
NA,kisses,body_touch
NA,kissing,body_touch
body_parts,knee,body_touch
NA,knees,body_touch
body_parts,leg,body_touch
NA,legs,body_touch
body_parts,nose,body_touch
NA,noses,body_touch
action_words,tickle,body_touch
NA,tickled,body_touch
NA,tickles,body_touch
NA,tickling,body_touch
body_parts,toe,body_touch
NA,toes,body_touch
NA,tummies,body_touch
body_parts,tummy,body_touch
body_parts,tummy_button,body_touch
NA,tummy_buttons,body_touch
household_items,brush,diaper_dressing
NA,brushed,diaper_dressing
NA,brushes,diaper_dressing
NA,brushing,diaper_dressing
clothes,button,diaper_dressing
NA,buttoned,diaper_dressing
NA,buttoning,diaper_dressing
NA,buttons,diaper_dressing
household_items,comb,diaper_dressing
NA,combed,diaper_dressing
NA,combing,diaper_dressing
NA,combs,diaper_dressing
clothes,dress,diaper_dressing
NA,dressed,diaper_dressing
NA,dresses,diaper_dressing
NA,dressing,diaper_dressing
body_parts,hair,diaper_dressing
clothes,hat,diaper_dressing
NA,hats,diaper_dressing
clothes,jacket,diaper_dressing
NA,jackets,diaper_dressing
clothes,jeans,diaper_dressing
clothes,jumper,diaper_dressing
NA,jumpers,diaper_dressing
NA,nappie,diaper_dressing
NA,nappies,diaper_dressing
clothes,nappy,diaper_dressing
NA,pjs,diaper_dressing
NA,potties,diaper_dressing
furniture_and_rooms,potty,diaper_dressing
clothes,pyjamas,diaper_dressing
clothes,shirt,diaper_dressing
NA,shirts,diaper_dressing
clothes,shoe,diaper_dressing
NA,shoes,diaper_dressing
clothes,shorts,diaper_dressing
clothes,sock,diaper_dressing
NA,socks,diaper_dressing
clothes,sweater,diaper_dressing
NA,sweaters,diaper_dressing
clothes,trousers,diaper_dressing
action_words,wipe,diaper_dressing
