mealtime,bedtime,diaper.change,bathtime,body.touch,play,routines
all_gone,bed,diaper,bath,arm,baa,bye
apple,blanket,nappy,bathroom,arms,ball,hello
banana,crib,clean,bathtub,belly,balloon,hi
bib,nap,clothes,brush,buttocks,bear,please
bite,night,dress,potty,bottom,bee,thank_you
bottle,shh,dressed,soap,eye,bird,uh_oh
bread,sleep,wipe,toothbrush,eyes,block,yes
breakfast,sleepy,dry,splash,finger,book,no
burp,tired,sock,,fingers,bug,oh_dear
burps,,shoe,,foot,bunny,
cake,,,,feet,cat,
cereal,,,,hair,cow,
cheerios,,,,hand,dog,
cheese,,,,hands,doll,
cookie,,,,nose,duck,
cracker,,,,toe,fish,
cup,,,,toes,horse,
dinner,,,,tooth,kitty,
drink,,,,teeth,meow,
eat,,,,tummy,monkey,
egg,,,,hug,moo,
food,,,,kiss,patty_cake,
high_chair,,,,tickle,peekaboo,
hungry,,,,,pig,
ice,,,,,play,
ice_cream,,,,,pool,
juice,,,,,puppy,
lunch,,,,,quack,
milk,,,,,teddy,
milky,,,,,toy,
more,,,,,woof,
mouth,,,,,,
pizza,,,,,,
rusk,,,,,,
spoon,,,,,,
toast,,,,,,
water,,,,,,
yum,,,,,,
